grado,tiempo estandar(us),tiempo horner(us)
10,0,0
20,1,0
30,0.98,0
40,0.67,0
50,1,1.01
60,2.03,0
70,2,0
80,2,1.51
90,2.01,1
100,3,0.51
110,3.99,1
120,4.04,1
130,4,2.03
140,4.01,2
150,4.52,1
160,5.15,1
170,6.03,1
180,6.5,1.53
190,5.81,1.53
200,7.64,1.02
210,7,2.03
220,7.02,2.01
230,7.86,2.01
240,8.03,2
250,7.74,2
260,9.7,2.01
270,9.68,2
280,10.55,2
290,10.09,3.01
300,10.76,2
310,11.54,2.53
320,11.78,1.99
330,12.32,2.33
340,11.52,2
350,12.16,3
360,13.02,2.73
370,13.05,3.04
380,12.82,3
390,13.52,3
400,13.56,4
410,13.67,2.54
420,14.77,3
430,16.17,3
440,15.8,4
450,16.17,2.51
460,17,3.52
470,16.05,3.99
480,16.66,4
490,17.2,4.03
500,17.52,4.01
510,18.36,4
520,19.02,3.07
530,18.54,4
540,19.33,4.03
550,19.76,4
560,20.1,4.77
570,20.6,4.51
580,20.68,5
590,21.07,5.01
600,21.9,4.27
610,21.9,4.34
620,21.97,4.79
630,22.7,5.03
640,23.61,5
650,23.78,4.77
660,24.06,6.02
670,24.25,5.65
680,24.43,4.62
690,25.41,5
700,25.82,5.51
710,26.47,5.51
720,25.32,6.14
730,26.43,5.51
740,26.43,6.52
750,27.28,6.01
760,27.28,6.78
770,28.05,5.5
780,28.89,6.01
790,30.17,6.02
800,29.99,5.51
810,29.55,7
820,30.36,6.79
830,31.03,7.27
840,31.13,6.23
850,31.76,6.34
860,32.04,6.77
870,32.61,5.99
880,32.72,6.94
890,33.97,6.74
900,33.45,7.01
910,35.47,6.53
920,36.07,7.02
930,35.35,7.51
940,36.42,7.75
950,37.97,6.92
960,37.86,7.01
970,38.94,6.72
980,39.35,7.51
990,40.37,7.52
1000,40.78,6.78
